Unconfigured,configure,Configuring_Step1
Configuring_Step1,success,Configuring_Step2
Configuring_Step1,abort,Unconfigured
Configuring_Step1,error,Unconfigured
Configuring_Step2,success,Configuring_Step3
Configuring_Step2,abort,Unconfigured
Configuring_Step2,error,Unconfigured
Configuring_Step3,success,Active
Configuring_Step3,abort,Unconfigured
Configuring_Step3,error,Unconfigured
Active,configure,Configuring
Active,abort,Unconfigured
Active,error,Unconfigured
